relative_time [ms],Bfield [microteslas]
0,442.8764261905923
20,442.736676877576
87,442.41983470450555
154,441.860494651868
220,442.3483301651983
286,445.0069227139071
354,449.1926214158668
422,452.516978224075
487,456.9794559374563
554,461.60536574745515
620,466.32461048398426
687,472.78085134190354
754,477.40295251614805
820,483.5644687100819
886,490.2593818290696
953,498.08645058716206
1020,507.7885089023081
1087,517.941724638471
1154,525.9510375128425
1220,536.0177360366539
1287,545.7406298937632
1354,553.646970509743
1420,564.5179353283186
1486,576.9158429122031
1554,588.6169605871291
1620,604.4022099801741
1687,620.7852711866013
1753,633.9441413744529
1820,649.2219314554254
1887,662.8238996256351
1953,673.6246972491006
2020,687.2869033283588
2087,698.6104668908955
2154,713.8265503423413
2220,731.1387847113808
2287,746.8767303853289
2354,766.0275321345591
2420,785.5963577049735
2487,803.4281499833735
2554,827.1092576281706
2620,853.4324149002014
2687,877.8705181857252
2754,907.9038985161883
2820,934.7955510636738
2887,967.2004994704903
2953,1000.4597544725443
3020,1028.8428971159237
3087,1063.1656954689008
3154,1099.1987494378473
3220,1132.4045533721194
3287,1175.1275532999064
3354,1221.6462158826089
3420,1264.6523939647693
3487,1319.575822850797
3554,1378.7759427308597
3620,1430.661169602543
3687,1493.0837208919838
3753,1560.2230924841429
3820,1619.7842125251877
3887,1684.1208719832641
3953,1739.6872078977458
4020,1782.3615907087553
4087,1833.3097955480416
4154,1891.7159937759745
4220,1956.1355186426172
4287,2043.6339567562445
4354,2132.432087405053
4420,2208.003324278858
4487,2302.3002263367634
4554,2322.9903945812957
4620,2327.748314051141
4687,2331.785726699408
4754,2330.0027271690283
4820,2326.9048753947795
4890,2327.8391418628944
4967,2328.0133241639182
5020,2334.3110129425895
5090,2340.9413305956236
5153,2347.834953507805
5223,2358.746022444318
5289,2364.201321694316
5354,2363.4382528808455
5422,2368.335365622602
5488,2372.499586231444
5554,2366.0942748461625
5623,2361.5981067397092
5688,2368.6225796356584
5753,2373.6693398898196
5823,2370.973019247222
5888,2367.982673156432
5953,2379.0644678211233
6023,2408.8893531654435
6088,2460.6525302840805
6154,2554.3100546548008
6222,2555.373973366938
6287,2547.1344074225
6354,2536.4028873528423
6424,2530.7720149126717
6487,2514.4280602286813
6554,2494.50566123776
6623,2470.779743496584
6687,2454.5537399996333
6754,2395.495604976587
6823,2368.8244747718823
6887,2352.7352395162297
6953,2339.1364697785175
7023,2334.888485469061
7087,2333.1518778751047
7154,2337.3559846867834
7223,2342.8574548985807
7287,2344.0708254228216
7354,2341.465246960289
7423,2445.2667550930414
7486,2456.0292624845683
7554,2466.707601851607
7619,2472.743605091267
7686,2478.91244856337
7753,2481.2022285150492
7820,2477.610297692631
7887,2468.5793218524745
7953,2458.7785312212964
8019,2446.710618612243
8087,2434.5932611236503
8153,2426.8147991108385
8220,2419.367791499692
8287,2351.2254787445204
8353,2273.1733970195623
8420,2210.158882307944
8487,2142.395148906556
8553,2077.7633631232684
8620,2000.6381850873938
8687,1928.3140547282794
8753,1864.0117055224457
8820,1788.91348811987
8887,1725.5075260271644
8953,1715.6049799936623
9020,1667.9111738434497
9087,1628.770784253772
9154,1586.6697263102847
9220,1557.6279897443012
9287,1522.3316839302918
9354,1485.4655624335348
9420,1441.4527500757138
9487,1397.9828613548673
9553,1358.3511586770248
9620,1311.059210788813
9687,1265.9749448327357
9754,1229.6474421120338
9820,1189.7227793906861
9887,1152.6794281282994
9967,1113.8734006272264
10020,1091.4212502125226
10087,1064.1522806866246
10154,1043.8093543257626
10220,1023.3922786715776
10287,1005.9217133779529
10354,987.2708401948057
10420,969.2342116519146
10487,953.0491160843143
10554,931.861423386632
10620,908.9909774921822
10687,888.5823731964201
10754,864.3889730779804
10820,842.0723217676434
10887,824.2925284566091
10953,806.766058464813
11020,791.1317606783914
11087,780.1475810748213
11154,768.8630677684158
11220,757.6973530531576
11287,747.3817389684082
11354,734.0660670550429
11420,719.8206866704544
11487,701.2273241851972
11554,678.9311411596045
11620,662.9655523965484
11687,648.2595468871397
11754,639.2941572051323
11820,632.9878045129367
11887,624.2489655915766
11953,615.085081905501
12020,607.7043843866429
12087,600.744853359367
12154,596.6503309820738
12220,594.6226709371474
12290,592.456009404104
12353,592.5518200548012
12420,593.1684737131062
12489,592.3592817225223
