relative_time [ms],Bfield [microteslas]
0,348.0291017348318
47,348.5982879113866
113,349.02590290370415
180,350.39318039002586
247,351.8494156392474
313,352.6726565612359
380,353.4458203255131
447,353.792739629132
513,355.45214941844506
580,356.53114062289654
646,352.6773591156572
714,350.7977076924006
780,353.34689197680467
846,356.33025373413506
913,356.68558139278986
980,356.9285983122953
1046,357.95478348400064
1113,360.38766615567135
1180,362.24908292605556
1247,364.85580070621194
1313,368.29228056972994
1380,370.8480874838315
1447,371.68610748467506
1512,373.60846834204426
1580,374.31082923661324
1647,377.63468062857186
1713,381.4534796077732
1780,385.4709959388287
1847,390.93634924626963
1913,391.15563476342305
1980,396.7828023293905
2047,403.4749548024112
2113,412.0621450669285
2180,416.57734030131485
2247,424.1578434710764
2313,431.6988058085012
2380,438.4633592045013
2447,446.3294155362262
2513,458.1962745257073
2580,469.0930732003033
2647,475.30262613614127
2713,481.24117612875415
2780,490.7151564235621
2847,502.4311598060701
2913,511.77246434049
2980,523.5958916607664
3047,541.1067229814495
3113,554.0698214442898
3180,564.0700639654696
3247,574.0797972834637
3313,591.4403749220334
3380,614.323560207448
3447,633.2838846136253
3513,652.0483085248891
3580,679.6926589225237
3647,704.9866165760263
3713,734.9516230656648
3780,769.0337361117569
3847,795.1603700580191
3913,832.1936262652391
3980,882.8684019330515
4047,931.7938290696454
4113,991.6458622328287
4180,1063.4218221485162
4246,1125.137470735079
4313,1192.0336974763522
4380,1258.493286234627
4447,1332.2991344948596
4513,1436.896574262491
4580,1559.2727253753296
4647,1644.4805054252358
4713,1718.345045277549
4780,1813.7989727961865
4847,1904.218512404171
4913,2002.0955538752314
4980,2128.1944870431116
5047,2301.5890858582743
5113,2304.678366766904
5180,2308.891500687452
5247,2312.255589688627
5313,2317.4098025972
5380,2319.3800431612926
5447,2322.931621244877
5513,2325.3182453309655
5580,2326.332287872338
5647,2330.513911684553
5713,2334.213034784425
5780,2335.745560181293
5847,2329.957924833232
5913,2330.089385642349
5980,2331.12095199511
6047,2350.9022615035988
6113,2428.4496708995375
6180,2496.6515882290123
6247,2472.532445032925
6313,2452.429800297539
6380,2440.631129142313
6447,2426.125367277808
6513,2418.989975670079
6580,2382.3525320307376
6647,2352.9026344542417
6713,2340.329361762128
6780,2327.2261211230266
6847,2315.111146271557
6913,2316.2816480702922
6980,2320.9146881182423
7047,2327.573601535545
7113,2334.3391386388225
7180,2342.1149680049957
7247,2348.101135843764
7313,2478.059508177432
7380,2496.0904308718805
7447,2507.4349730325007
7513,2513.8110290564705
7580,2522.2552334435327
7646,2526.4297087782293
7713,2525.333034484083
7780,2515.1904692824755
7846,2503.768907438803
7913,2490.96815887915
7980,2475.2274251360677
8047,2460.9572648425215
8113,2451.254046921397
8180,2447.081985993494
8247,2407.2146275000473
8313,2335.465890038107
8380,2255.119879240196
8447,2174.9676533728034
8512,2091.961593982548
8580,2017.0726429789452
8647,1952.5247363981393
8713,1856.406387379366
8780,1767.4340790870122
8847,1692.62306910757
8913,1596.8508596682084
8980,1496.8283096892203
9047,1432.4245278976298
9113,1387.162740442896
9180,1350.6651945020365
9247,1309.4542870830558
9313,1268.3389214372364
9380,1233.7478828330409
9447,1205.2312861226617
9513,1169.761663929635
9580,1121.1338848342345
9647,1061.765483930457
9713,1015.493689406818
9780,967.6791462527226
9847,913.4751369490439
9913,864.8021298260421
9980,821.9619117492392
10047,776.0473706944205
10113,734.0723295992896
10180,698.4050297152472
10247,660.0797896505246
10313,624.8623728260351
10379,601.73892253522
10447,582.5857834222446
10513,564.3245883272505
10580,553.4442881124828
10647,542.1722505503036
10713,527.33358990103
10780,512.2367263328935
10847,500.7419228598438
10913,492.5404753015754
10980,485.40544384914045
11047,481.28182914573557
11113,476.88630517800124
11180,469.8464621167111
11247,464.03822533219517
11313,459.74307742531187
11380,453.4669584199167
11447,448.40586286186414
11513,444.7193244763514
11580,437.74613587372824
11647,430.5443376083186
11713,422.99662625420524
11780,415.208765967842
11847,408.8482401938092
11913,402.56442828475247
11980,397.5040329386867
12047,394.2339430082566
12113,393.3941890022447
12180,392.86257019068927
12247,389.6174909406891
12313,386.5401645082389
12379,386.580715509116
12447,386.13289302738076
12513,383.3635174437538
12580,381.5203650394019
12647,379.5601272042965
12713,376.40511105229245
12780,373.74019977120236
12847,372.3646090669406
12913,371.61461081454047
12980,371.4989617742094
13047,371.20560698450953
13113,371.174472649953
13180,371.1074378369712
13247,371.1654651773562
13313,370.90204946168376
13380,371.09245440434677
13447,370.8888476530967
13513,370.68892769350526
13580,370.6973317061549
13647,370.5381159453091
13712,370.6938332939222
13780,370.90175851648615
13847,370.6585771056245
13913,370.8770165220246
13980,371.0944445814459
14047,370.9989771902692
14113,370.98703443076073
14180,371.10849596550975
14247,371.0616758359532
14313,370.67418643010836
14380,371.2064543619915
